DestinationPort,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthOfFwdPackets,TotalLengthOfBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthMean,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthMean,BwdPacketLengthStd,FlowBytesPerSecond,FlowPacketsPerSecond,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,BwdPSHFlags,FwdURGFlags,BwdURGFlags,FINFlagCount,SYNFlagCount,RSTFlagCount,PSHFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,ECEFlagCount,FwdHeaderLength,BwdHeaderLength,FwdPacketsPerSecond,BwdPacketsPerSecond,MinPacketLength,MaxPacketLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,DownUpRatio,AveragePacketSize,AvgFwdSegmentSize,AvgBwdSegmentSize,FwdAvgBytesPerBulk,FwdAvgPacketsPerBulk,FwdAvgBulkRate,BwdAvgBytesPerBulk,BwdAvgPacketsPerBulk,BwdAvgBulkRate,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,InitWinBytesForward,InitWinBytesBackward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin,ActDataPktFwd,MinSegSizeForward,Protocol,Label
80,49045,38,42,19038,44277,246,42,144,79,1173,82,627.5,77,28590,445,2116,4669,12461,78,51301,1197,1619,43427,37,4485,6804,1147,14506,67,1,0,0,0,0,0,0,19,13,0,0,0,26,48,43,85,79,1308,693.5,155,24025,6,205,729,416,4720,66,7499,2405,82,1346,34,3005,25,537,55762,17339,19301,9697,268249,497,67373,4511,498892,277,10,44,6,Web Attack - XSS
21034,422957,42,16,1399,3075,1090,51,570.5,85,1494,72,783,72,2087,8,997,1108,22904,26,36018,1561,3304,8920,7,46506,8293,2235,38138,53,0,0,0,0,1,1,1,0,8,0,0,0,41,56,14,60,42,1488,765,147,21609,4,820,693,715,4011,76,9239,1114,60,4172,23,2143,42,3440,11864,57410,15496,7945,254262,361,73297,1570,392762,901,12,68,6,Bot
80,11962,58,60,33996,5432,1038,86,562,32,770,57,413.5,16,23474,312,5156,4525,12499,36,79463,3014,584,28254,81,28109,5913,456,6792,64,0,1,0,0,0,1,1,6,11,0,0,0,46,51,14,89,58,1469,763.5,186,34596,4,222,268,631,8313,2,3964,3614,88,271,44,1981,3,3349,38304,37048,83675,4922,39396,292,13361,9865,377009,371,21,47,6,Web Attack - XSS
34580,79,4,1,147,78,737,47,392,23,1434,88,761,89,442,80,6234,157,10865,84,76859,4745,2518,28370,96,55984,123,2847,29528,81,1,0,0,0,0,1,0,3,5,0,0,0,55,51,39,32,76,1368,722,123,15129,7,963,362,454,9668,98,2191,3184,1,3098,32,4650,33,2210,62512,16375,68445,885,10038,873,4383,2173,466707,182,33,37,6,PortScan
80,3905,325,1,59296,656,312,92,202,78,238,71,154.5,76,456727,831,6221,4633,5040,46,21329,6489,3752,10350,83,20594,3429,3989,12466,47,1,1,0,0,1,186,0,1,1,0,0,0,51,53,86,66,83,1259,671,169,28561,6,284,301,661,2759,27,5956,3138,64,5164,18,2918,49,3435,56534,61439,51047,7656,215316,242,13760,5900,214349,977,11,88,6,DoS Hulk
80,4642,144,4,58916,316,874,77,475.5,88,572,97,334.5,18,425053,3924,5578,472,32238,21,88330,4558,2126,30810,98,21358,3452,1906,7209,27,1,0,0,0,0,170,0,1,7,0,0,0,46,26,70,5,90,1431,760.5,62,3844,7,619,542,272,1005,14,4502,592,11,9819,12,4859,10,778,51274,22202,87715,7899,100125,970,77481,3255,39587,226,11,95,6,DDoS
348,1005,20,27,533,4857,1483,71,777,48,507,43,275,71,4304,26,1233,4042,9484,13,47656,8390,847,22406,96,92717,7332,1109,12226,72,0,0,0,0,1,0,0,0,5,0,0,0,52,41,42,82,63,1432,747.5,92,8464,7,713,500,973,529,25,8376,7687,71,9712,35,563,36,1715,16103,41274,43995,2383,454682,757,95410,3086,29743,428,38,84,6,BENIGN
80,4998,445,7,98964,219,913,53,483,18,322,97,209.5,57,336206,2708,7307,804,46570,99,7503,2591,2641,10282,40,26849,8430,816,5113,34,1,0,0,0,0,184,1,2,0,0,0,0,23,59,58,6,51,1044,547.5,72,5184,5,724,782,612,2083,12,3105,8397,6,1404,18,4857,30,2489,45515,13320,22200,4024,147459,826,69797,8122,493393,457,8,25,6,DDoS
80,4708,947,6,20998,256,934,81,507.5,10,1191,87,639,82,455208,4417,3327,4995,47430,58,13461,9057,761,29083,16,4642,4852,589,18250,96,0,0,0,0,1,131,0,4,1,0,0,0,33,48,2,69,69,1264,666.5,100,10000,5,653,406,896,7296,55,2765,5294,95,4690,39,4056,13,1085,47201,23387,81939,5791,222989,973,65022,3736,394705,642,32,32,6,DoS Hulk
80,2888,665,6,65568,686,311,57,184,16,1366,95,730.5,18,158430,3526,3689,4843,48662,10,38017,555,2906,1414,37,33069,909,1453,16564,37,0,0,0,0,0,178,1,2,0,0,0,0,22,49,5,75,54,1140,597,133,17689,9,749,879,410,981,40,9696,3033,39,6212,7,4848,14,1981,12848,20314,49985,3468,308466,214,28814,5649,136175,282,27,52,6,DoS Hulk
433,8558,17,32,3872,1363,1407,56,731.5,87,434,93,263.5,70,2015,10,3512,2257,15950,9,76189,2221,3468,24413,66,52160,9802,2925,17693,62,0,0,0,0,0,1,1,1,5,0,0,0,23,26,2,95,43,1142,592.5,90,8100,8,404,672,223,5079,8,4228,4095,98,261,46,975,8,681,8308,51547,92418,9304,92016,9,32157,4999,213586,752,31,33,6,BENIGN
21,17504,59,70,12544,16423,424,48,236,20,468,41,254.5,22,9763,59,7243,1369,16607,34,24631,9330,2486,11362,80,36633,2198,2960,5023,79,1,0,0,0,1,1,1,34,22,0,0,0,33,42,17,83,61,1248,654.5,82,6724,1,133,106,802,7416,62,8702,5998,54,847,23,3545,27,4485,36059,17924,4668,2521,221174,859,79287,2839,415346,226,29,87,6,FTP-Patator
39304,308733,15,89,6987,7504,164,51,107.5,37,320,71,195.5,19,4577,27,760,1853,13056,73,95403,9415,1277,44812,49,5394,6085,4421,15740,83,0,1,0,0,0,1,0,2,7,0,0,0,46,42,79,90,85,1272,678.5,61,3721,4,593,686,839,6113,10,3198,806,80,9529,26,4204,7,3423,39885,47676,74305,4104,493745,152,25606,7022,69094,18,14,82,6,Bot
80,3143,243,0,58249,527,494,98,296,82,598,73,335.5,93,395135,3868,3066,4764,35334,78,62472,8297,3444,13164,23,31448,5311,3795,38119,15,0,0,0,0,1,143,0,4,8,0,0,0,28,32,61,58,47,1198,622.5,92,8464,0,224,577,180,4907,51,348,7994,78,8838,34,445,11,853,47351,37003,54928,7839,363567,291,17475,3791,466214,785,1,81,6,DoS Hulk
6900,81,4,0,95,62,755,83,419,78,584,80,332,99,510,132,9720,870,8734,82,57905,7206,2580,22421,40,81711,528,1423,1018,78,0,1,0,0,1,1,1,4,5,0,0,0,50,38,91,59,49,1214,631.5,123,15129,4,654,547,354,1603,55,2241,4057,12,6769,11,2524,37,468,33880,21893,6239,5276,275285,571,60306,3624,246314,643,15,48,6,PortScan
21,27213,28,44,15031,12859,826,65,445.5,67,1341,95,718,11,11873,115,1501,4024,14288,29,80786,1074,2358,28424,14,12170,8792,3247,34153,58,1,1,0,0,0,1,1,47,23,0,0,0,50,59,76,4,68,1430,749,128,16384,8,169,548,143,7528,82,5302,4255,32,5765,46,2289,46,310,28592,59090,97190,2936,429346,922,4233,5454,95042,611,36,92,6,FTP-Patator
80,2707,986,5,13186,232,1097,78,587.5,29,1320,41,680.5,27,300784,1324,153,3030,3174,95,87623,1556,1641,42482,96,19108,8489,4043,32300,16,0,0,0,0,0,114,0,3,1,0,0,0,23,23,36,99,71,1131,601,176,30976,9,766,779,883,3084,61,4279,2941,19,2229,7,3561,25,3740,52227,52269,80321,5653,116866,895,91748,6886,19933,385,10,54,6,DDoS
21,37363,21,72,15348,3037,536,56,296,96,162,96,129,84,4539,75,782,4268,48481,81,88208,7007,2064,47221,57,12224,1742,3429,11481,30,1,1,0,0,1,1,1,45,25,0,0,0,45,40,28,33,85,1455,770,193,37249,0,258,906,129,468,12,226,6385,3,3451,8,4582,4,2356,29489,24452,28193,2454,386486,561,32500,863,52638,628,44,56,6,FTP-Patator
21,39198,74,80,18271,5970,1403,61,732,32,822,48,435,45,19407,65,8595,4113,47342,65,44157,5893,238,22041,88,26022,8180,564,41647,31,0,1,0,0,0,0,1,34,40,0,0,0,41,33,18,86,82,1316,699,121,14641,4,107,897,600,6611,64,8596,3393,66,4046,27,161,45,3465,60660,14408,9953,9223,110666,177,73444,2532,440506,651,20,89,6,FTP-Patator
439,79741,37,35,3952,2656,361,48,204.5,45,694,54,374,81,7448,82,4335,1561,14554,64,68041,5267,2363,39655,22,56625,1277,424,38541,92,0,1,0,0,1,1,0,4,7,0,0,0,58,50,45,5,50,1306,678,119,14161,7,109,938,469,4783,39,9347,6008,68,2789,45,3999,18,4257,19036,50771,85980,8735,316338,124,62119,2085,292452,164,28,76,6,BENIGN
38485,87,1,1,144,32,420,94,257,37,1482,60,771,45,743,187,7342,4184,15098,47,77939,6895,774,38689,27,31742,1403,4185,6756,99,1,1,0,0,1,1,1,1,2,0,0,0,26,55,64,51,77,1355,716,102,10404,5,582,780,187,2468,98,7954,669,60,4988,33,3967,31,4215,15434,18752,56346,7632,198505,591,45514,1009,417395,629,26,59,6,PortScan
80,3975,901,0,25007,773,488,91,289.5,98,571,91,331,39,339884,2040,7585,526,33554,27,1684,9886,3811,20048,86,51301,2761,1123,4661,15,1,0,0,0,0,81,0,0,3,0,0,0,52,28,38,92,69,1493,781,167,27889,5,581,634,730,583,98,1793,2789,31,625,29,4984,21,1403,58875,49196,97334,3749,103252,789,47384,4081,21022,562,44,65,6,DDoS
80,205,828,4,16190,806,1232,55,643.5,19,421,47,234,81,471378,1724,9927,424,10386,68,81829,370,2521,21375,98,89102,2525,3481,29001,44,1,0,0,0,1,167,1,1,4,0,0,0,23,41,99,34,89,1003,546,85,7225,3,245,251,981,2164,62,6258,7816,76,9277,14,4243,13,1097,40440,23264,54498,3842,446846,712,71616,6097,413274,589,41,29,6,DDoS
13301,206710,74,68,1525,6463,614,92,353,85,1491,66,778.5,20,2297,24,5267,2294,28582,16,40738,5145,592,13799,79,10518,4909,2503,9999,85,0,0,0,0,1,0,1,1,6,0,0,0,31,43,1,95,72,1093,582.5,152,23104,4,925,731,379,7646,98,4243,6751,99,9508,42,1478,49,4919,35353,37671,7435,8576,340663,349,36723,9298,306863,616,9,65,6,Bot
6521,218392,33,86,3204,2841,626,86,356,55,1070,70,570,40,2763,14,5603,3883,35527,39,78350,2047,2834,43871,52,21286,6246,1097,48526,45,1,0,0,0,0,1,0,3,0,0,0,0,42,30,66,76,44,1226,635,119,14161,2,329,336,941,3713,96,649,2233,17,3805,14,3219,7,4890,64231,45020,51173,719,417176,196,86322,2181,452836,60,11,23,6,Bot
80,745,401,7,22688,923,767,95,431,77,106,77,91.5,34,492852,804,3991,359,2558,60,54170,3367,3677,1797,59,6855,6777,1195,20967,88,0,1,0,0,0,198,0,0,3,0,0,0,56,34,51,76,72,1281,676.5,57,3249,5,112,157,574,1357,23,9736,2423,57,7038,18,3538,22,4806,57725,9189,59267,5063,209192,683,9573,1242,373647,642,23,75,6,DoS Hulk
20197,184656,53,50,8998,7304,725,40,382.5,90,1175,42,608.5,24,4877,40,3727,4645,47464,78,86732,3032,2235,33499,78,16561,4570,1628,9153,74,0,0,0,0,0,1,1,0,4,0,0,0,53,50,60,67,99,1236,667.5,97,9409,5,128,198,393,8534,94,4937,9126,12,1736,10,1823,18,274,41937,47164,26412,900,342451,972,4381,6376,290092,331,49,66,6,Bot
371,52789,29,32,4828,949,321,48,184.5,54,1383,87,735,41,9583,21,9972,2429,37995,27,68115,2838,2098,14123,95,44391,1647,3914,45243,36,0,0,0,0,1,0,1,3,5,0,0,0,59,41,10,96,61,1489,775,72,5184,1,779,253,559,3686,89,6230,4032,6,8091,10,591,31,600,8478,40996,29193,697,303726,655,52087,5393,288734,96,23,34,6,Infiltration
80,3302,104,2,23058,245,591,64,327.5,33,506,62,284,54,75245,1202,2461,3214,47166,1,51053,1936,3511,2237,26,46343,207,3396,17295,58,0,1,0,0,1,170,1,4,2,0,0,0,57,40,34,42,51,1245,648,74,5476,7,833,101,560,8494,39,270,3961,24,7267,17,2588,7,1439,54149,39196,54862,3761,151609,714,9777,6320,374650,742,7,65,6,DoS Hulk
80,623,242,3,80056,533,182,86,134,44,1464,89,776.5,28,100536,2763,4518,3657,19276,76,59637,2965,1454,34084,45,52582,4205,2588,29028,38,0,1,0,0,0,129,1,1,7,0,0,0,42,51,79,85,44,1119,581.5,53,2809,5,292,263,600,2104,62,6313,398,66,7928,25,4301,20,2905,47387,56320,12884,9603,357372,229,88037,4373,355581,779,18,22,6,DDoS
80,48159,69,31,5488,34716,1072,84,578,69,260,71,165.5,81,6395,300,3417,3777,42676,1,49136,1927,538,25818,9,39160,953,1787,45512,78,1,0,0,0,0,0,1,6,19,0,0,0,42,51,42,5,94,1298,696,110,12100,6,771,613,678,7480,80,9097,5408,43,2235,31,3002,31,846,24123,23593,4960,9284,28037,372,87413,1601,86097,625,29,74,6,Web Attack - XSS
80,1381,711,2,59387,76,1121,85,603,55,498,85,291.5,97,435980,3950,5645,252,43807,42,49244,7974,2406,4010,16,57654,1038,2691,20126,55,0,0,0,0,0,124,1,4,8,0,0,0,55,53,10,33,95,1292,693.5,190,36100,4,310,699,421,754,29,8585,802,95,8927,41,889,8,4308,37040,47193,91131,8085,110536,534,34159,2081,265771,702,23,63,6,DoS Hulk
12436,94,2,0,82,73,173,52,112.5,92,267,62,164.5,46,940,107,9004,2383,41920,40,87143,5329,4167,32701,47,6813,725,4613,40945,63,1,1,0,0,1,1,1,3,4,0,0,0,42,31,10,26,84,1180,632,119,14161,1,113,637,950,9668,52,1669,9360,15,4118,48,3577,27,4712,43699,56475,37430,5435,342899,815,36598,2970,462223,46,10,85,6,PortScan
23587,187022,90,53,1500,1727,1323,40,681.5,73,1404,52,728,71,2090,22,6510,3313,16064,3,5982,645,845,20696,42,95602,4130,4790,21492,6,0,0,0,0,0,0,1,1,2,0,0,0,26,25,47,80,79,1235,657,168,28224,6,199,396,508,8672,96,8483,4290,24,7397,14,4119,13,4402,8731,48842,50487,9339,166710,523,28293,9483,472925,938,4,27,6,Bot
155,72595,12,35,3578,3140,160,67,113.5,67,1123,49,586,34,7392,58,8369,1971,25963,53,72449,7712,1580,27841,22,50946,3994,268,34224,15,0,1,0,0,1,0,0,4,6,0,0,0,41,52,79,27,71,1497,784,166,27556,9,310,384,597,2545,49,3880,1225,25,7532,6,3114,5,4389,23168,63816,68696,6668,393898,386,78573,6623,259493,653,14,71,6,BENIGN
80,1966,261,2,51468,398,1345,73,709,21,1296,52,674,45,400129,4772,4561,3320,3123,14,98468,6089,2965,41580,11,3958,8119,2385,33490,17,0,1,0,0,1,170,1,4,1,0,0,0,56,59,37,5,62,1221,641.5,108,11664,1,599,104,643,2543,50,7001,1061,67,4575,5,532,21,2838,34985,25008,24709,4597,135919,667,64677,5571,44678,261,32,94,6,DDoS
253,90579,26,12,3430,4707,245,81,163,66,1134,95,614.5,26,7495,13,7265,4569,23144,53,11651,4036,1678,20128,91,23588,7619,1471,20840,62,1,1,0,0,0,0,1,0,6,0,0,0,50,26,17,40,77,1002,539.5,86,7396,5,614,800,786,4196,32,9290,8938,1,824,13,943,13,2573,50626,50832,93744,3201,98881,597,56512,979,493660,251,20,49,6,Infiltration
80,2396,485,3,85183,981,1338,41,689.5,30,530,89,309.5,68,314361,618,205,3476,38999,91,99699,578,3999,41756,63,8591,131,3134,34211,90,1,1,0,0,0,185,1,0,0,0,0,0,23,51,71,16,99,1439,769,79,6241,9,459,215,219,2688,81,3450,6298,21,2372,35,3881,40,4250,27810,49392,19386,8354,39353,66,98614,6405,402235,303,41,48,6,DoS Hulk
21,36646,33,69,9031,8766,630,75,352.5,24,1248,48,648,47,6164,166,4968,1726,20907,32,90731,9019,1176,41519,11,21229,3539,3353,19671,33,1,1,0,0,1,0,1,43,32,0,0,0,38,49,41,92,73,1094,583.5,181,32761,4,425,838,116,6007,54,788,5666,42,5125,43,2713,48,147,9737,39522,57780,3112,371975,286,48872,3456,260826,187,2,65,6,FTP-Patator
47389,185821,83,68,4624,6350,1066,62,564,37,1384,49,716.5,33,2001,41,4554,2981,44046,48,51092,2312,4502,2638,12,58066,4770,3942,24589,89,0,0,0,0,0,0,0,4,7,0,0,0,43,28,46,83,64,1276,670,143,20449,1,184,627,441,9362,91,8527,2144,87,624,10,969,24,3890,38214,28741,89479,1213,484260,698,58490,6884,130097,246,9,69,6,Bot
80,19168,71,24,7306,21889,419,58,238.5,37,919,95,507,56,18249,189,9012,760,11670,65,32451,8062,2140,49371,39,11617,4582,4432,20799,11,1,1,0,0,1,1,1,15,10,0,0,0,38,29,20,87,90,1283,686.5,106,11236,9,394,906,575,8867,30,4051,626,99,1818,32,899,19,2830,52447,61819,90789,4046,121287,784,95486,6999,386875,944,46,52,6,Web Attack - XSS
49972,10,2,0,198,20,1285,59,672,56,557,66,311.5,40,510,93,5989,1929,10780,76,25732,9482,2435,20806,80,15101,138,3628,45852,95,0,0,0,0,0,1,1,4,9,0,0,0,50,57,60,71,64,1497,780.5,133,17689,5,672,296,446,5634,48,6327,8934,5,2767,20,3374,1,2038,43229,21071,42322,6160,348663,400,29310,6080,304147,212,49,58,6,PortScan
80,3831,383,5,41126,522,827,60,443.5,59,831,87,459,37,383259,2010,1681,1815,31118,78,39540,7267,481,47443,30,15465,1603,1801,44011,90,0,0,0,0,0,155,1,1,9,0,0,0,28,30,70,26,64,1225,644.5,188,35344,8,474,936,176,782,47,6489,7801,2,9864,10,1980,7,1182,43024,34618,51197,4304,197879,767,12708,8156,17236,437,10,33,6,DDoS
21,8375,43,94,7647,18985,1139,86,612.5,97,195,49,122,36,15826,57,1246,443,14025,7,90431,6118,1150,14642,77,5124,1183,3957,38712,84,0,0,0,0,1,1,1,36,21,0,0,0,41,52,70,49,49,1359,704,119,14161,4,722,838,897,4258,96,2060,1409,75,4790,48,220,22,463,22970,8476,38767,2992,403648,311,86202,290,84643,272,41,98,6,FTP-Patator
80,3227,940,4,16607,519,589,81,335,63,838,65,451.5,87,183116,830,9154,856,41743,80,73693,4346,3329,22800,53,40273,3860,4165,43277,71,0,0,0,0,0,62,1,1,0,0,0,0,36,58,90,78,75,1014,544.5,145,21025,4,648,688,882,4997,85,1985,7492,63,7404,11,1244,25,3812,27916,33954,63918,6789,252505,940,12217,2015,206308,6,34,75,6,DoS Hulk
57523,30,4,1,166,17,611,98,354.5,40,1389,72,730.5,72,231,99,5007,2355,23967,90,10268,8119,2175,41898,9,25919,6455,3325,17762,67,1,0,0,0,1,1,1,0,7,0,0,0,42,31,38,61,52,1295,673.5,106,11236,8,655,738,283,8281,54,3572,3278,99,6922,3,967,2,1058,26962,50878,58081,3488,475823,492,45969,4017,414109,562,8,61,6,PortScan
278,45833,9,42,2268,1431,305,60,182.5,82,1110,91,600.5,67,5183,66,8835,898,16386,38,81952,4621,1615,37422,70,77786,9321,4628,15758,63,1,1,0,0,1,1,1,1,1,0,0,0,24,28,36,56,42,1331,686.5,157,24649,9,340,464,134,4317,35,6861,8880,65,3114,37,1789,45,604,46322,51403,67554,9145,138828,404,76833,8048,379437,320,45,57,6,BENIGN
50738,216432,17,44,1287,6279,1450,61,755.5,58,269,64,166.5,38,578,13,5059,3047,14954,4,65791,9634,2301,42700,37,72318,9996,3035,17573,31,0,1,0,0,1,0,0,2,6,0,0,0,54,52,71,37,96,1458,777,195,38025,2,820,670,410,2881,31,4511,7075,87,1620,20,1033,37,3506,13552,44581,56329,7681,59095,983,2336,9204,35928,365,20,54,6,Bot
33546,76,4,0,91,80,425,55,240,26,1244,98,671,80,869,146,7169,1529,18239,97,85668,791,3755,19426,72,75619,7829,276,8017,2,1,1,0,0,1,1,0,2,6,0,0,0,57,50,84,5,78,1007,542.5,164,26896,7,524,344,944,5787,57,6054,4864,9,8811,12,4029,9,4088,63446,57763,53724,9402,448605,267,76827,3719,134483,453,27,81,6,PortScan
18922,237560,33,34,8610,5758,560,43,301.5,16,404,82,243,20,4904,43,5026,3559,45405,68,40013,5105,4048,43427,98,21280,6211,1370,3799,75,1,0,0,0,0,0,0,4,6,0,0,0,46,31,51,9,51,1209,630,83,6889,4,585,655,821,4084,92,5608,9084,38,5711,11,1395,46,332,40063,54361,61254,995,35028,801,59811,4174,247283,55,33,66,6,Bot
61968,449687,53,46,9964,4177,369,91,230,72,237,62,149.5,48,2022,5,9463,1109,16567,45,43522,8238,2315,17205,70,35889,7084,2821,14354,76,0,0,0,0,1,0,0,1,8,0,0,0,41,54,92,8,76,1395,735.5,172,29584,0,622,870,727,586,30,2479,4619,3,3490,17,3862,14,2878,20538,25203,38421,7502,200044,454,2788,6178,104624,131,35,55,6,Bot
288,99034,18,20,556,4719,862,54,458,53,1300,64,682,42,3431,73,5671,1287,25677,79,37808,6217,1206,33800,99,70760,1084,2259,24710,50,1,1,0,0,1,1,1,1,3,0,0,0,59,58,32,83,41,1067,554,103,10609,4,338,892,125,1181,76,1705,3750,3,2167,42,2019,25,4628,21075,26875,74797,4852,436594,775,89833,9056,496658,589,13,65,6,BENIGN
80,22925,86,67,40112,43434,1042,53,547.5,58,470,74,272,43,36846,475,9757,269,36859,58,55081,3188,2050,33750,46,98781,5089,4453,18491,45,0,0,0,0,0,1,0,13,9,0,0,0,47,36,22,73,44,1400,722,89,7921,5,394,141,342,5480,62,8940,4992,3,3574,34,499,46,3879,37101,36879,19812,926,75228,294,5881,1906,97987,792,18,85,6,Web Attack - XSS
